,month,hour,noise_counts
253,11,13,66173947818
254,11,14,64809680877
255,11,15,73159815086
256,11,16,75996957723
257,11,17,86448471659
258,11,18,99624371976
259,11,19,109823823917
260,11,20,126313326062
261,11,21,152881865495
262,11,22,224943457181
263,11,23,226382178702
264,12,00,180255588023
265,12,01,135122135069
266,12,02,87611971598
267,12,03,59150175097
268,12,04,41932463877
269,12,05,34906582132
270,12,06,32209309509
271,12,07,40555746587
272,12,08,44304153756
273,12,09,49057852745
274,12,10,49588892800
275,12,11,54606303937
276,12,12,55397651319
277,12,13,60415987299
278,12,14,60627805027
279,12,15,62851991386
280,12,16,74466603451
281,12,17,82075940526
282,12,18,91671058739
283,12,19,101285565964
284,12,20,118391297936
285,12,21,148712266021
286,12,22,199293160009
287,12,23,221622537026
